Username,Comment,Normalisasi,Tokenization,Stopwords,Stemming
@megantroupus9588,Yess 02 Unggul,yess unggul,"['yess', 'unggul']","['yess', 'unggul']",yess unggul
@syamsuls5330,Perabowo gibran yang menang suara di seluruh indonesia 02,perabowo gibran yang menang suara di seluruh indonesia,"['perabowo', 'gibran', 'yang', 'menang', 'suara', 'di', 'seluruh', 'indonesia']","['perabowo', 'gibran', 'menang', 'suara', 'indonesia']",perabowo gibran menang suara indonesia
@raharjowaluyo1242,"Dipastikan sdh menjadi Presiden Terpilih dari hasil hitung cepat tdk akan jauh selisih scra hitung manual yg menunggu _+35hari lg..sebelum menunggu pelantikan Oktober ...<br>Segera setelah ditetapkan resmi KPU bisa mulai kerja menata<br> 1. Rekonsiliasi secara Nasional diagendakan....<br> 2. Melakukan komunikasi politik intens dengan pemerintahan ,istilah masa pemerintahan transisi....<br>Presiden <b>terpilih</b> wajib melakukan komunikatif arahan bersama kepada Presiden RI.<br>3.bekerja menata mempersiapkan kabinet kerja dan pembentukan masa kerja sebagai Presiden Terpilih jauh2 hari sebelum pelantikan dan sumpah,  sah sebagai Presiden RI.",dipastikan sudah menjadi presiden terpilih dari hasil hitung cepat tidak akan jauh selisih secara hitung manual yang menunggu 35hari lagi sebelum menunggu pelantikan oktober segera setelah ditetapkan resmi kpu bisa mulai kerja menata rekonsiliasi secara nasional diagendakan melakukan komunikasi politik intens dengan pemerintahan istilah masa pemerintahan transisi presiden terpilih wajib melakukan komunikatif arahan bersama kepada presiden ri bekerja menata mempersiapkan kabinet kerja dan pembentukan masa kerja sebagai presiden terpilih jauh2 hari sebelum pelantikan dan sumpah sah sebagai presiden ri,"['dipastikan', 'sudah', 'menjadi', 'presiden', 'terpilih', 'dari', 'hasil', 'hitung', 'cepat', 'tidak', 'akan', 'jauh', 'selisih', 'secara', 'hitung', 'manual', 'yang', 'menunggu', '35hari', 'lagi', 'sebelum', 'menunggu', 'pelantikan', 'oktober', 'segera', 'setelah', 'ditetapkan', 'resmi', 'kpu', 'bisa', 'mulai', 'kerja', 'menata', 'rekonsiliasi', 'secara', 'nasional', 'diagendakan', 'melakukan', 'komunikasi', 'politik', 'intens', 'dengan', 'pemerintahan', 'istilah', 'masa', 'pemerintahan', 'transisi', 'presiden', 'terpilih', 'wajib', 'melakukan', 'komunikatif', 'arahan', 'bersama', 'kepada', 'presiden', 'ri', 'bekerja', 'menata', 'mempersiapkan', 'kabinet', 'kerja', 'dan', 'pembentukan', 'masa', 'kerja', 'sebagai', 'presiden', 'terpilih', 'jauh2', 'hari', 'sebelum', 'pelantikan', 'dan', 'sumpah', 'sah', 'sebagai', 'presiden', 'ri']","['presiden', 'terpilih', 'hasil', 'hitung', 'cepat', 'selisih', 'hitung', 'manual', 'menunggu', '35hari', 'menunggu', 'pelantikan', 'oktober', 'ditetapkan', 'resmi', 'kpu', 'kerja', 'menata', 'rekonsiliasi', 'nasional', 'diagendakan', 'komunikasi', 'politik', 'intens', 'pemerintahan', 'istilah', 'pemerintahan', 'transisi', 'presiden', 'terpilih', 'wajib', 'komunikatif', 'arahan', 'presiden', 'ri', 'menata', 'kabinet', 'kerja', 'pembentukan', 'kerja', 'presiden', 'terpilih', 'jauh2', 'pelantikan', 'sumpah', 'sah', 'presiden', 'ri']",presiden pilih hasil hitung cepat selisih hitung manual tunggu 35hari tunggu lantik oktober tetap resmi kpu kerja tata rekonsiliasi nasional agenda komunikasi politik intens perintah istilah perintah transisi presiden pilih wajib komunikatif arah presiden ri tata kabinet kerja bentuk kerja presiden pilih jauh2 lantik sumpah sah presiden ri
@DarmanSudarman-ke7qp,Kalo banyak ngejek&quot; begitu hasilnya.orang&quot; indonesia udah cerdas&quot;bro,kalau banyak ngejek begitu hasilnya orang indonesia sudah cerdasbro,"['kalau', 'banyak', 'ngejek', 'begitu', 'hasilnya', 'orang', 'indonesia', 'sudah', 'cerdasbro']","['ngejek', 'hasilnya', 'orang', 'indonesia', 'cerdasbro']",ngejek hasil orang indonesia cerdasbro
@sodikinmaryo1212,Ha...ha....team yg kalah di tanya hasil pemilu jawabanya ke mana mana.....yo kalau kalah mbok yg legowo.....<br>Jangan ngeyel .....,ha ha team yang kalah di tanya hasil pemilu jawabanya ke mana mana ya kalau kalah mbok yang legowo jangan ngeyel,"['ha', 'ha', 'team', 'yang', 'kalah', 'di', 'tanya', 'hasil', 'pemilu', 'jawabanya', 'ke', 'mana', 'mana', 'ya', 'kalau', 'kalah', 'mbok', 'yang', 'legowo', 'jangan', 'ngeyel']","['ha', 'ha', 'team', 'kalah', 'hasil', 'pemilu', 'jawabanya', 'kalah', 'mbok', 'legowo', 'ngeyel']",ha ha team kalah hasil milu jawabanya kalah mbok legowo ngeyel
@linmeri1621,"Sial,tahu gitu komentar loe,gue nga coblos pdip tadi pagi...",sialtahu begitu komentar loegue tidak coblos pdip tadi pagi,"['sialtahu', 'begitu', 'komentar', 'loegue', 'tidak', 'coblos', 'pdip', 'tadi', 'pagi']","['sialtahu', 'komentar', 'loegue', 'coblos', 'pdip', 'pagi']",sialtahu komentar loegue coblos pdip pagi
@channel-gr1lr,"hasil hitung cepat agak aneh, apakah ini konspirasi para lembaga survey.....???",hasil hitung cepat agak aneh apakah ini konspirasi para lembaga survey,"['hasil', 'hitung', 'cepat', 'agak', 'aneh', 'apakah', 'ini', 'konspirasi', 'para', 'lembaga', 'survey']","['hasil', 'hitung', 'cepat', 'aneh', 'konspirasi', 'lembaga', 'survey']",hasil hitung cepat aneh konspirasi lembaga survey
@EdyMbul,TKN ganjar amnesia...nggak sadar calonya sendiri yang bikin keog.,tkn ganjar amnesia tidak sadar calonya sendiri yang bikin keog,"['tkn', 'ganjar', 'amnesia', 'tidak', 'sadar', 'calonya', 'sendiri', 'yang', 'bikin', 'keog']","['tkn', 'ganjar', 'amnesia', 'sadar', 'calonya', 'bikin', 'keog']",tkn ganjar amnesia sadar calo bikin keog
@InsatArianto,Saya tidak yakin dgn aplikasi ini,saya tidak yakin dengan aplikasi ini,"['saya', 'tidak', 'yakin', 'dengan', 'aplikasi', 'ini']",['aplikasi'],aplikasi
@zeniantonio6675,Klo pk prabowo menang saya yakin hakul yakin murni krna rakyat..krna setau saya kubu bliau dri dulu gk pernah main curang.justru lawan2ya Laa yg sering mau menebar kebencian terhadap bliau🤔,kalau pakai prabowo menang saya yakin hakul yakin murni karena rakyat karena setau saya kubu bliau dari dulu tidak pernah main curang justru lawan2ya lah yang sering mau menebar kebencian terhadap bliau,"['kalau', 'pakai', 'prabowo', 'menang', 'saya', 'yakin', 'hakul', 'yakin', 'murni', 'karena', 'rakyat', 'karena', 'setau', 'saya', 'kubu', 'bliau', 'dari', 'dulu', 'tidak', 'pernah', 'main', 'curang', 'justru', 'lawan2ya', 'lah', 'yang', 'sering', 'mau', 'menebar', 'kebencian', 'terhadap', 'bliau']","['pakai', 'prabowo', 'menang', 'hakul', 'murni', 'rakyat', 'setau', 'kubu', 'bliau', 'main', 'curang', 'lawan2ya', 'menebar', 'kebencian', 'bliau']",pakai prabowo menang hakul murni rakyat tau kubu bliau main curang lawan2ya tebar benci bliau
